"subjectid" "activity" "feature" "mean(measurement)"
1 "walking" "tBodyAccmeanX" 0.277330758736842
1 "walking" "tBodyAccmeanY" -0.0173838185273684
1 "walking" "tBodyAccmeanZ" -0.111148103547368
1 "walking" "tBodyAccstdX" -0.283740258842105
1 "walking" "tBodyAccstdY" 0.114461336747368
1 "walking" "tBodyAccstdZ" -0.260027902210526
1 "walking" "tGravityAccmeanX" 0.935223201473684
1 "walking" "tGravityAccmeanY" -0.282165021263158
1 "walking" "tGravityAccmeanZ" -0.068102864
1 "walking" "tGravityAccstdX" -0.976609642526316
1 "walking" "tGravityAccstdY" -0.971305961473684
1 "walking" "tGravityAccstdZ" -0.947717226105263
1 "walking" "tBodyAccJerkmeanX" 0.0740416333157895
1 "walking" "tBodyAccJerkmeanY" 0.0282721095884211
1 "walking" "tBodyAccJerkmeanZ" -0.00416840617789474
1 "walking" "tBodyAccJerkstdX" -0.113615602435789
1 "walking" "tBodyAccJerkstdY" 0.0670025007684211
1 "walking" "tBodyAccJerkstdZ" -0.502699788526316
1 "walking" "tBodyGyromeanX" -0.041830963526
1 "walking" "tBodyGyromeanY" -0.0695300462115789
1 "walking" "tBodyGyromeanZ" 0.0849448173042105
1 "walking" "tBodyGyrostdX" -0.473535485894737
1 "walking" "tBodyGyrostdY" -0.0546077686594737
1 "walking" "tBodyGyrostdZ" -0.344266629473684
1 "walking" "tBodyGyroJerkmeanX" -0.0899975423705263
1 "walking" "tBodyGyroJerkmeanY" -0.0398428709463158
1 "walking" "tBodyGyroJerkmeanZ" -0.0461309295021053
1 "walking" "tBodyGyroJerkstdX" -0.207421854757895
1 "walking" "tBodyGyroJerkstdY" -0.304468510631579
1 "walking" "tBodyGyroJerkstdZ" -0.404255452631579
1 "walking" "tBodyAccMagmean" -0.136971176556842
1 "walking" "tBodyAccMagstd" -0.219688645631579
1 "walking" "tGravityAccMagmean" -0.136971176556842
1 "walking" "tGravityAccMagstd" -0.219688645631579
1 "walking" "tBodyAccJerkMagmean" -0.141428809031579
1 "walking" "tBodyAccJerkMagstd" -0.0744717500625263
1 "walking" "tBodyGyroMagmean" -0.160979552536842
1 "walking" "tBodyGyroMagstd" -0.186978364526316
1 "walking" "tBodyGyroJerkMagmean" -0.298703679084211
1 "walking" "tBodyGyroJerkMagstd" -0.325324878894737
1 "walking" "fBodyAccmeanX" -0.202794306326316
1 "walking" "fBodyAccmeanY" 0.0897127264021053
1 "walking" "fBodyAccmeanZ" -0.331560117789474
1 "walking" "fBodyAccstdX" -0.319134719578947
1 "walking" "fBodyAccstdY" 0.056040006846
1 "walking" "fBodyAccstdZ" -0.279686751494737
1 "walking" "fBodyAccmeanFreqX" -0.207548374494737
1 "walking" "fBodyAccmeanFreqY" 0.113093646103158
1 "walking" "fBodyAccmeanFreqZ" 0.0497265196172632
1 "walking" "fBodyAccJerkmeanX" -0.170546964549579
1 "walking" "fBodyAccJerkmeanY" -0.0352255241130632
1 "walking" "fBodyAccJerkmeanZ" -0.468999224631579
1 "walking" "fBodyAccJerkstdX" -0.133586606326316
1 "walking" "fBodyAccJerkstdY" 0.106739857136
1 "walking" "fBodyAccJerkstdZ" -0.534713440421053
1 "walking" "fBodyAccJerkmeanFreqX" -0.209261973376842
1 "walking" "fBodyAccJerkmeanFreqY" -0.386237143210526
1 "walking" "fBodyAccJerkmeanFreqZ" -0.185530281244211
1 "walking" "fBodyGyromeanX" -0.339032197115789
1 "walking" "fBodyGyromeanY" -0.103059416434737
1 "walking" "fBodyGyromeanZ" -0.255940940315789
1 "walking" "fBodyGyrostdX" -0.516691938736842
1 "walking" "fBodyGyrostdY" -0.0335081597884211
1 "walking" "fBodyGyrostdZ" -0.436562227473684
1 "walking" "fBodyGyromeanFreqX" 0.0147844986621053
1 "walking" "fBodyGyromeanFreqY" -0.0657746190010526
1 "walking" "fBodyGyromeanFreqZ" 0.00077332156431579
1 "walking" "fBodyAccMagmean" -0.128623450629474
1 "walking" "fBodyAccMagstd" -0.398032586842105
1 "walking" "fBodyAccMagmeanFreq" 0.1906437244
1 "walking" "fBodyBodyAccJerkMagmean" -0.0571194000343158
1 "walking" "fBodyBodyAccJerkMagstd" -0.103492403002105
1 "walking" "fBodyBodyAccJerkMagmeanFreq" 0.0938221807027368
1 "walking" "fBodyBodyGyroMagmean" -0.199252568986316
1 "walking" "fBodyBodyGyroMagstd" -0.321017953894737
1 "walking" "fBodyBodyGyroMagmeanFreq" 0.268844367525895
1 "walking" "fBodyBodyGyroJerkMagmean" -0.319308593778947
1 "walking" "fBodyBodyGyroJerkMagstd" -0.381601911789474
1 "walking" "fBodyBodyGyroJerkMagmeanFreq" 0.190663448793684
1 "walking" "angletBodyAccMeangravity" 0.0604537474147368
1 "walking" "angletBodyAccJerkMeangravityMean" -0.00793037848421052
1 "walking" "angletBodyGyroMeangravityMean" 0.0130594907157895
1 "walking" "angletBodyGyroJerkMeangravityMean" -0.0187431910452632
1 "walking" "angleXgravityMean" -0.729247201052632
1 "walking" "angleYgravityMean" 0.276953023473684
1 "walking" "angleZgravityMean" 0.0688589119894737
1 "walkingupstairs" "tBodyAccmeanX" 0.255461689622641
1 "walkingupstairs" "tBodyAccmeanY" -0.0239531492643396
1 "walkingupstairs" "tBodyAccmeanZ" -0.0973020020943396
1 "walkingupstairs" "tBodyAccstdX" -0.35470802509434
